FITPROB_Ibc,FITPROB_II,FITPROB_Ia,SNRMAX1,SNRMAX2,SHAPEPAR_Ia,COLORPAR_Ia,CHI2_Ibc,CHI2_Ia,CHI2_II,TOBSMIN_Ibc,DMU_Ia,TOBSMIN_II,Z_Ia,ITYPE_BEST,CLASS
8.91657e-13,5.05787e-12,0.000114671,53.57413,39.50916,-3.0,-0.9,68.34794,27.54016,64.66158,47.247,0.7,47.247,0.0572055,0,KN
2.39256e-10,1.66399e-12,0.00170772,9.9416,8.04214,2.5,-0.9,56.42114,21.17312,67.02424,35.255,-0.5,14.255,1.30917,0,KN
0.48808,0.58477,0.77171,37.54354,12.90706,2.5,-0.5,5.44537,3.28965,4.68523,-1.754,-0.3,-12.754,1.25191,-9,CC
1.20655e-08,7.52857e-10,0.000257023,74.81865,27.96289,-2.65625,0.0,45.39382,23.61826,51.294,45.255,-0.1,45.255,0.0409045,-9,KN
0.97729,0.59467,1.0,226.97821,56.59003,1.125,-0.9,4.90192,0.94163,11.19274,12.276,1.1,9.276,0.0782336,0,Ia
0.000580886,2.64015e-07,0.0155565,14.57287,8.26319,2.5,-1.0,21.76262,14.00834,38.77143,45.255,-0.5,9.255,1.30917,-9,KN
0.97579,0.94628,0.97551,12.81594,4.81175,2.5,0.0,2.67536,2.68424,3.40065,24.23,0.9,7.23,0.34998,0,CC
0.25388,0.13478,0.000926222,7.00711,4.19112,2.5,-1.0,6.57905,22.64063,8.41537,2.255,0.9,11.255,1.4,-9,KN
0.8803,0.81837,0.9872,23.95907,23.11014,2.5,0.5,3.73391,1.77287,4.40994,23.242,1.3,45.242,0.0782336,0,CC
0.99103,0.97499,0.96431,27.66686,9.86541,1.8125,-0.5,0.83751,1.42515,1.23748,10.275,-0.5,9.275,1.19715,-9,CC
0.92835,0.82552,0.94637,25.90158,3.29228,0.78125,1.0,1.90357,1.68371,2.86554,24.276,1.5,5.276,0.0699581,0,CC
0.98181,0.98648,0.99995,73.0603,35.67287,-0.25,0.3,2.9835,0.76684,2.76215,30.203,0.1,1.203,0.12235,0,CC
0.98423,0.99244,0.98121,78.56921,75.05356,2.5,0.4,1.44273,1.53119,1.13045,-11.78,-0.3,-15.78,0.10463,0,CC
0.96092,0.90122,0.96906,43.96016,13.0618,-0.9375,0.9,5.55295,4.63551,7.01803,11.276,1.5,11.276,0.0625579,0,Ia
0.86053,0.92087,0.99673,122.47202,65.88663,-1.625,-0.2,3.96206,1.19112,3.20461,6.241,0.7,36.241,0.0914895,0,Ia
0.58082,0.66581,0.75546,29.74337,10.03535,-1.625,-0.4,10.40108,8.37157,9.43021,12.276,1.1,21.276,0.13683,0,CC
0.95529,0.93442,0.99785,34.32013,13.54704,-3.0,-0.2,2.63197,1.05924,2.99896,18.289,0.5,13.289,0.0699581,0,Ia
7.47414e-07,1.97199e-06,0.0247056,15.70327,7.22755,2.5,-0.8,36.52001,12.86213,34.41096,49.241,0.1,49.241,1.4,0,KN
0.97291,0.67702,0.99337,26.03188,14.99297,-1.28125,-0.3,3.31836,2.30923,7.5054,18.203,-0.5,8.203,0.34224,0,Ia
0.33456,0.0583441,0.66316,32.74827,4.16193,1.46875,1.0,6.85398,4.09988,12.16706,31.276,1.5,10.276,0.0625579,0,Ia
0.0259691,0.0891571,0.46262,21.24286,-0.0272602,-2.65625,-1.0,12.73729,4.63049,9.54638,46.246,-0.5,-16.754,1.4,-9,KN
0.99562,0.99926,1.0,198.76402,26.73033,1.8125,-0.2,0.94814,0.12074,0.54499,4.275,-0.5,-5.725,0.32003,0,CC
0.50277,0.58362,0.74012,42.85213,-9.0,2.5,0.1,5.32569,4.33808,5.62944,-17.78,0.7,-16.78,0.14632,0,CC
0.0820318,0.0427165,0.44395,14.26906,5.90007,2.5,-1.0,9.76964,5.81743,11.47608,7.255,1.1,7.255,1.36904,0,KN
3.17371e-12,1.36217e-18,8.8021e-09,27.99755,12.01578,-3.0,1.0,65.65265,48.63973,96.47611,44.251,0.1,50.251,0.048917,-9,KN
0.20832,0.1885,0.40629,19.16992,8.5595,2.5,-0.1,10.88465,8.28338,11.23944,10.277,1.5,45.277,0.18712,0,KN
0.0981913,0.0363891,0.21989,5.20077,1.26414,-3.0,-1.0,14.74471,11.88464,17.89687,1.276,-0.3,-12.724,1.30917,0,KN
0.96534,0.93458,0.9591,11.15989,7.60517,1.125,-0.8,2.42032,2.55539,2.9965,10.241,1.3,7.241,1.28022,0,Ia
0.95479,0.94636,0.99958,66.80862,25.54406,-0.59375,-1.0,1.5689,0.28219,1.68382,18.238,-0.5,13.238,1.30917,0,Ia
0.0043804,5.58105e-05,0.11792,13.75116,7.86513,-3.0,1.0,17.06379,8.78572,27.04869,42.255,0.3,12.255,0.0836618,0,KN
0.99812,0.38228,0.9996,48.56518,28.65071,-3.0,-0.5,0.72678,0.45368,6.37729,-1.714,0.9,12.286,0.0978374,0,CC
